Product ID,Economy Price,Economy Sale Price,Economy No Of Days,Fast Price,Fast Sale Price,Fast No Of Days,Faster Price,Faster Sale Price,Faster No Of Days,Crazy Fast Price,Crazy fast sale price,Crazy fast No Of Days,Labels,Quantity
12,$118.80,$117.40,December 4 - 9,$125.81,$124.06,December 2 - 4,$130.02,$128.06,December 2 - 3,$149.45,$146.51,November 26 - December 2,"PRINT SIZE=4.25x11, SIDES=Single Sided (4/0), PAPER OR STOCK=16pt C2S Cardstock, COATING=High Gloss UV, Variable Data=0, Door Hanger Die Cut=0, Slit Position=Front Left",25
12,$118.80,$117.40,December 4 - 9,$125.81,$124.06,December 2 - 4,$130.02,$128.06,December 2 - 3,$149.45,$146.51,November 26 - December 2,"PRINT SIZE=4.25x11, SIDES=Single Sided (4/0), PAPER OR STOCK=16pt C2S Cardstock, COATING=High Gloss UV, Variable Data=0, Door Hanger Die Cut=0, Slit Position=Back Left",25
12,$118.80,$117.40,December 4 - 9,$125.81,$124.06,December 2 - 4,$130.02,$128.06,December 2 - 3,$149.45,$146.51,November 26 - December 2,"PRINT SIZE=4.25x11, SIDES=Single Sided (4/0), PAPER OR STOCK=16pt C2S Cardstock, COATING=High Gloss UV, Variable Data=0, Door Hanger Die Cut=0, Slit Position=No Preference",25
12,$117.84,$116.49,December 4 - 9,$124.61,$122.92,December 2 - 4,$128.68,$126.78,December 2 - 3,$147.43,$144.60,November 26 - December 2,"PRINT SIZE=4.25x11, SIDES=Single Sided (4/0), PAPER OR STOCK=16pt C2S Cardstock, COATING=High Gloss UV on ONE SIDE, Variable Data=0, Door Hanger Die Cut=0, Slit Position=Front Left",25
12,$117.84,$116.49,December 4 - 9,$124.61,$122.92,December 2 - 4,$128.68,$126.78,December 2 - 3,$147.43,$144.60,November 26 - December 2,"PRINT SIZE=4.25x11, SIDES=Single Sided (4/0), PAPER OR STOCK=16pt C2S Cardstock, COATING=High Gloss UV on ONE SIDE, Variable Data=0, Door Hanger Die Cut=0, Slit Position=Back Left",25
12,$117.84,$116.49,December 4 - 9,$124.61,$122.92,December 2 - 4,$128.68,$126.78,December 2 - 3,$147.43,$144.60,November 26 - December 2,"PRINT SIZE=4.25x11, SIDES=Single Sided (4/0), PAPER OR STOCK=16pt C2S Cardstock, COATING=High Gloss UV on ONE SIDE, Variable Data=0, Door Hanger Die Cut=0, Slit Position=No Preference",25
12,$119.08,$117.66,December 4 - 9,$141.55,$139.01,December 2 - 4,$165.26,$161.53,December 2 - 3,Please Call,Please Call,November 26 - December 2,"PRINT SIZE=4.25x11, SIDES=Single Sided (4/0), PAPER OR STOCK=16pt C2S Cardstock, COATING=Matte Aqueous, Variable Data=0, Door Hanger Die Cut=0, Slit Position=Front Left",25
12,$119.08,$117.66,December 4 - 9,$141.55,$139.01,December 2 - 4,$165.26,$161.53,December 2 - 3,Please Call,Please Call,November 26 - December 2,"PRINT SIZE=4.25x11, SIDES=Single Sided (4/0), PAPER OR STOCK=16pt C2S Cardstock, COATING=Matte Aqueous, Variable Data=0, Door Hanger Die Cut=0, Slit Position=Back Left",25
12,$119.08,$117.66,December 4 - 9,$141.55,$139.01,December 2 - 4,$165.26,$161.53,December 2 - 3,Please Call,Please Call,November 26 - December 2,"PRINT SIZE=4.25x11, SIDES=Single Sided (4/0), PAPER OR STOCK=16pt C2S Cardstock, COATING=Matte Aqueous, Variable Data=0, Door Hanger Die Cut=0, Slit Position=No Preference",25
12,Please Call,Please Call,December 4 - 9,Please Call,Please Call,December 2 - 4,Please Call,Please Call,December 2 - 3,Please Call,Please Call,November 26 - December 2,"PRINT SIZE=4.25x11, SIDES=Single Sided (4/0), PAPER OR STOCK=12pt C2S Cardstock, COATING=High Gloss UV, Variable Data=0, Door Hanger Die Cut=0, Slit Position=Front Left",25
12,Please Call,Please Call,December 4 - 9,Please Call,Please Call,December 2 - 4,Please Call,Please Call,December 2 - 3,Please Call,Please Call,November 26 - December 2,"PRINT SIZE=4.25x11, SIDES=Single Sided (4/0), PAPER OR STOCK=12pt C2S Cardstock, COATING=High Gloss UV, Variable Data=0, Door Hanger Die Cut=0, Slit Position=Back Left",25
12,Please Call,Please Call,December 4 - 9,Please Call,Please Call,December 2 - 4,Please Call,Please Call,December 2 - 3,Please Call,Please Call,November 26 - December 2,"PRINT SIZE=4.25x11, SIDES=Single Sided (4/0), PAPER OR STOCK=12pt C2S Cardstock, COATING=High Gloss UV, Variable Data=0, Door Hanger Die Cut=0, Slit Position=No Preference",25
12,Please Call,Please Call,December 4 - 9,Please Call,Please Call,December 2 - 4,Please Call,Please Call,December 2 - 3,Please Call,Please Call,November 26 - December 2,"PRINT SIZE=4.25x11, SIDES=Single Sided (4/0), PAPER OR STOCK=12pt C2S Cardstock, COATING=High Gloss UV on ONE SIDE, Variable Data=0, Door Hanger Die Cut=0, Slit Position=Front Left",25
12,Please Call,Please Call,December 4 - 9,Please Call,Please Call,December 2 - 4,Please Call,Please Call,December 2 - 3,Please Call,Please Call,November 26 - December 2,"PRINT SIZE=4.25x11, SIDES=Single Sided (4/0), PAPER OR STOCK=12pt C2S Cardstock, COATING=High Gloss UV on ONE SIDE, Variable Data=0, Door Hanger Die Cut=0, Slit Position=Back Left",25
12,Please Call,Please Call,December 4 - 9,Please Call,Please Call,December 2 - 4,Please Call,Please Call,December 2 - 3,Please Call,Please Call,November 26 - December 2,"PRINT SIZE=4.25x11, SIDES=Single Sided (4/0), PAPER OR STOCK=12pt C2S Cardstock, COATING=High Gloss UV on ONE SIDE, Variable Data=0, Door Hanger Die Cut=0, Slit Position=No Preference",25
12,Please Call,Please Call,December 4 - 9,Please Call,Please Call,December 2 - 4,Please Call,Please Call,December 2 - 3,Please Call,Please Call,November 26 - December 2,"PRINT SIZE=4.25x11, SIDES=Single Sided (4/0), PAPER OR STOCK=12pt C2S Cardstock, COATING=None, Variable Data=0, Door Hanger Die Cut=0, Slit Position=Front Left",25
12,Please Call,Please Call,December 4 - 9,Please Call,Please Call,December 2 - 4,Please Call,Please Call,December 2 - 3,Please Call,Please Call,November 26 - December 2,"PRINT SIZE=4.25x11, SIDES=Single Sided (4/0), PAPER OR STOCK=12pt C2S Cardstock, COATING=None, Variable Data=0, Door Hanger Die Cut=0, Slit Position=Back Left",25
