Product ID,Economy Price,Economy Sale Price,Economy No Of Days,Fast Price,Fast Sale Price,Fast No Of Days,Faster Price,Faster Sale Price,Faster No Of Days,Crazy Fast Price,Crazy fast sale price,Crazy fast No Of Days,Labels,Quantity
28,$45.72,$44.30,December 4 - 9,$52.84,$51.06,December 2 - 4,$57.11,$55.12,December 2 - 3,$76.91,$73.93,November 27 - December 2,"Exact Quantity=0, PRINT SIZE=8.5x11, SIDES=Single Sided (4/0), PAPER OR STOCK=100 lb Gloss Text, COATING=Gloss Aqueous, COLOR CRITICAL=0, Spot UV Gloss Coating=0, FOLDING=Tri Fold (3 Panel), SCORE=0",25
28,$45.72,$44.30,December 4 - 9,$52.84,$51.06,December 2 - 4,$57.11,$55.12,December 2 - 3,$76.91,$73.93,November 27 - December 2,"Exact Quantity=0, PRINT SIZE=8.5x11, SIDES=Single Sided (4/0), PAPER OR STOCK=100 lb Gloss Text, COATING=Gloss Aqueous, COLOR CRITICAL=0, Spot UV Gloss Coating=0, FOLDING=Z Fold (3 Panel), SCORE=0",25
28,$45.72,$44.30,December 4 - 9,$52.84,$51.06,December 2 - 4,$57.11,$55.12,December 2 - 3,$76.91,$73.93,November 27 - December 2,"Exact Quantity=0, PRINT SIZE=8.5x11, SIDES=Single Sided (4/0), PAPER OR STOCK=100 lb Gloss Text, COATING=Gloss Aqueous, COLOR CRITICAL=0, Spot UV Gloss Coating=0, FOLDING=Half Fold (2 Panel), SCORE=0",25
28,$45.72,$44.30,December 4 - 9,$52.84,$51.06,December 2 - 4,$57.11,$55.12,December 2 - 3,$76.91,$73.93,November 27 - December 2,"Exact Quantity=0, PRINT SIZE=8.5x11, SIDES=Single Sided (4/0), PAPER OR STOCK=100 lb Gloss Text, COATING=Gloss Aqueous, COLOR CRITICAL=0, Spot UV Gloss Coating=0, FOLDING=Double Parallel Fold (4 Panel), SCORE=0",25
28,$45.72,$44.30,December 4 - 9,$52.84,$51.06,December 2 - 4,$57.11,$55.12,December 2 - 3,$76.91,$73.93,November 27 - December 2,"Exact Quantity=0, PRINT SIZE=8.5x11, SIDES=Single Sided (4/0), PAPER OR STOCK=100 lb Gloss Text, COATING=Gloss Aqueous, COLOR CRITICAL=0, Spot UV Gloss Coating=0, FOLDING=Double Parallel Reverse Fold (4 Panel), SCORE=0",25
28,$45.72,$44.30,December 4 - 9,$52.84,$51.06,December 2 - 4,$57.11,$55.12,December 2 - 3,$76.91,$73.93,November 27 - December 2,"Exact Quantity=0, PRINT SIZE=8.5x11, SIDES=Single Sided (4/0), PAPER OR STOCK=100 lb Gloss Text, COATING=Gloss Aqueous, COLOR CRITICAL=0, Spot UV Gloss Coating=0, FOLDING=Gate Fold (3 Panel), SCORE=0",25
28,$96.72,$95.30,December 4 - 9,$103.84,$102.06,December 2 - 4,$108.11,$106.12,December 2 - 3,$127.91,$124.93,November 27 - December 2,"Exact Quantity=0, PRINT SIZE=8.5x11, SIDES=Single Sided (4/0), PAPER OR STOCK=100 lb Gloss Text, COATING=Gloss Aqueous, COLOR CRITICAL=0, Spot UV Gloss Coating=0, FOLDING=Double Gate Fold (4 Panel), SCORE=0",25
28,$45.72,$44.30,December 4 - 9,$52.84,$51.06,December 2 - 4,$57.11,$55.12,December 2 - 3,$76.91,$73.93,November 27 - December 2,"Exact Quantity=0, PRINT SIZE=8.5x11, SIDES=Single Sided (4/0), PAPER OR STOCK=100 lb Gloss Text, COATING=Gloss Aqueous, COLOR CRITICAL=0, Spot UV Gloss Coating=0, FOLDING=Roll Fold (4 Panel), SCORE=0",25
28,$45.72,$44.30,December 4 - 9,$52.84,$51.06,December 2 - 4,$57.11,$55.12,December 2 - 3,$76.91,$73.93,November 27 - December 2,"Exact Quantity=0, PRINT SIZE=8.5x11, SIDES=Single Sided (4/0), PAPER OR STOCK=100 lb Gloss Text, COATING=Gloss Aqueous, COLOR CRITICAL=0, Spot UV Gloss Coating=0, FOLDING=Accordion Fold (4 Panel), SCORE=0",25
28,$62.72,$61.30,December 4 - 9,$69.84,$68.06,December 2 - 4,$74.11,$72.12,December 2 - 3,$93.91,$90.93,November 27 - December 2,"Exact Quantity=0, PRINT SIZE=8.5x11, SIDES=Single Sided (4/0), PAPER OR STOCK=100 lb Gloss Text, COATING=Gloss Aqueous, COLOR CRITICAL=0, Spot UV Gloss Coating=0, FOLDING=Half Fold then Half Fold (4 Panel), SCORE=0",25
28,$79.72,$78.30,December 4 - 9,$86.84,$85.06,December 2 - 4,$91.11,$89.12,December 2 - 3,$110.91,$107.93,November 27 - December 2,"Exact Quantity=0, PRINT SIZE=8.5x11, SIDES=Single Sided (4/0), PAPER OR STOCK=100 lb Gloss Text, COATING=Gloss Aqueous, COLOR CRITICAL=0, Spot UV Gloss Coating=0, FOLDING=Half Fold then Tri Fold (6 Panel), SCORE=0",25
