Product ID,Economy Price,Economy Sale Price,Economy No Of Days,Fast Price,Fast Sale Price,Fast No Of Days,Faster Price,Faster Sale Price,Faster No Of Days,Crazy Fast Price,Crazy fast sale price,Crazy fast No Of Days,Labels,Quantity
29,$50.40,$48.74,February 3 - 6,$58.68,$56.61,January 30 - February 3,$63.66,$61.34,January 30 - 31,$86.68,$83.21,January 29 - 31,"Exact Quantity=0, PRINT SIZE=11x17, SIDES=Single Sided (4/0), PAPER OR STOCK=100 lb Gloss Text, COATING=Gloss Aqueous, COLOR CRITICAL=0, Spot UV Gloss Coating=0, FOLDING=Tri Fold (3 Panel), Variable Data=0",25
29,$50.40,$48.74,February 3 - 6,$58.68,$56.61,January 30 - February 3,$63.66,$61.34,January 30 - 31,$86.68,$83.21,January 29 - 31,"Exact Quantity=0, PRINT SIZE=11x17, SIDES=Single Sided (4/0), PAPER OR STOCK=100 lb Gloss Text, COATING=Gloss Aqueous, COLOR CRITICAL=0, Spot UV Gloss Coating=0, FOLDING=Z Fold (3 Panel), Variable Data=0",25
29,$50.40,$48.74,February 3 - 6,$58.68,$56.61,January 30 - February 3,$63.66,$61.34,January 30 - 31,$86.68,$83.21,January 29 - 31,"Exact Quantity=0, PRINT SIZE=11x17, SIDES=Single Sided (4/0), PAPER OR STOCK=100 lb Gloss Text, COATING=Gloss Aqueous, COLOR CRITICAL=0, Spot UV Gloss Coating=0, FOLDING=Half Fold (2 Panel), Variable Data=0",25
29,$50.40,$48.74,February 3 - 6,$58.68,$56.61,January 30 - February 3,$63.66,$61.34,January 30 - 31,$86.68,$83.21,January 29 - 31,"Exact Quantity=0, PRINT SIZE=11x17, SIDES=Single Sided (4/0), PAPER OR STOCK=100 lb Gloss Text, COATING=Gloss Aqueous, COLOR CRITICAL=0, Spot UV Gloss Coating=0, FOLDING=Double Parallel Fold (4 Panel), Variable Data=0",25
29,$50.40,$48.74,February 3 - 6,$58.68,$56.61,January 30 - February 3,$63.66,$61.34,January 30 - 31,$86.68,$83.21,January 29 - 31,"Exact Quantity=0, PRINT SIZE=11x17, SIDES=Single Sided (4/0), PAPER OR STOCK=100 lb Gloss Text, COATING=Gloss Aqueous, COLOR CRITICAL=0, Spot UV Gloss Coating=0, FOLDING=Double Parallel Reverse Fold (4 Panel), Variable Data=0",25
29,$50.40,$48.74,February 3 - 6,$58.68,$56.61,January 30 - February 3,$63.66,$61.34,January 30 - 31,$86.68,$83.21,January 29 - 31,"Exact Quantity=0, PRINT SIZE=11x17, SIDES=Single Sided (4/0), PAPER OR STOCK=100 lb Gloss Text, COATING=Gloss Aqueous, COLOR CRITICAL=0, Spot UV Gloss Coating=0, FOLDING=Gate Fold (3 Panel), Variable Data=0",25
29,$101.40,$99.74,February 3 - 6,$109.68,$107.61,January 30 - February 3,$114.66,$112.34,January 30 - 31,$137.68,$134.21,January 29 - 31,"Exact Quantity=0, PRINT SIZE=11x17, SIDES=Single Sided (4/0), PAPER OR STOCK=100 lb Gloss Text, COATING=Gloss Aqueous, COLOR CRITICAL=0, Spot UV Gloss Coating=0, FOLDING=Double Gate Fold (4 Panel), Variable Data=0",25
29,$50.40,$48.74,February 3 - 6,$58.68,$56.61,January 30 - February 3,$63.66,$61.34,January 30 - 31,$86.68,$83.21,January 29 - 31,"Exact Quantity=0, PRINT SIZE=11x17, SIDES=Single Sided (4/0), PAPER OR STOCK=100 lb Gloss Text, COATING=Gloss Aqueous, COLOR CRITICAL=0, Spot UV Gloss Coating=0, FOLDING=Roll Fold (4 Panel), Variable Data=0",25
29,$50.40,$48.74,February 3 - 6,$58.68,$56.61,January 30 - February 3,$63.66,$61.34,January 30 - 31,$86.68,$83.21,January 29 - 31,"Exact Quantity=0, PRINT SIZE=11x17, SIDES=Single Sided (4/0), PAPER OR STOCK=100 lb Gloss Text, COATING=Gloss Aqueous, COLOR CRITICAL=0, Spot UV Gloss Coating=0, FOLDING=Accordion Fold (4 Panel), Variable Data=0",25
29,$67.40,$65.74,February 3 - 6,$75.68,$73.61,January 30 - February 3,$80.66,$78.34,January 30 - 31,$103.68,$100.21,January 29 - 31,"Exact Quantity=0, PRINT SIZE=11x17, SIDES=Single Sided (4/0), PAPER OR STOCK=100 lb Gloss Text, COATING=Gloss Aqueous, COLOR CRITICAL=0, Spot UV Gloss Coating=0, FOLDING=Half Fold then Half Fold (4 Panel), Variable Data=0",25
