Product ID,Economy Price,Economy Sale Price,Economy No Of Days,Fast Price,Fast Sale Price,Fast No Of Days,Faster Price,Faster Sale Price,Faster No Of Days,Crazy Fast Price,Crazy fast sale price,Crazy fast No Of Days,Labels,Quantity
31,$543.30,$531.60,December 9 - 13,$619.42,$603.91,December 5 - 10,$656.64,$639.27,December 5 - 9,Please Call,Please Call,December 3 - 6,"PRINT SIZE=9x12 (Standard), SIDES=Single Sided (4/0), PAPER OR STOCK=16pt C2S Cardstock, COATING=High Gloss UV, Folder Diecut & Assembly=0, Folder Pockets=Both Sides, Business Card Slits=Left , Card Slit Orientation=Horizontal",25
31,$543.30,$531.60,December 9 - 13,$619.42,$603.91,December 5 - 10,$656.64,$639.27,December 5 - 9,Please Call,Please Call,December 3 - 6,"PRINT SIZE=9x12 (Standard), SIDES=Single Sided (4/0), PAPER OR STOCK=16pt C2S Cardstock, COATING=High Gloss UV, Folder Diecut & Assembly=0, Folder Pockets=Both Sides, Business Card Slits=Left , Card Slit Orientation=Vertical",25
31,$543.30,$531.60,December 9 - 13,$619.42,$603.91,December 5 - 10,$656.64,$639.27,December 5 - 9,Please Call,Please Call,December 3 - 6,"PRINT SIZE=9x12 (Standard), SIDES=Single Sided (4/0), PAPER OR STOCK=16pt C2S Cardstock, COATING=High Gloss UV, Folder Diecut & Assembly=0, Folder Pockets=Both Sides, Business Card Slits=Left , Card Slit Orientation=N/A",25
31,$543.30,$531.60,December 9 - 13,$619.42,$603.91,December 5 - 10,$656.64,$639.27,December 5 - 9,Please Call,Please Call,December 3 - 6,"PRINT SIZE=9x12 (Standard), SIDES=Single Sided (4/0), PAPER OR STOCK=16pt C2S Cardstock, COATING=High Gloss UV, Folder Diecut & Assembly=0, Folder Pockets=Both Sides, Business Card Slits=Right , Card Slit Orientation=Horizontal",25
31,$543.30,$531.60,December 9 - 13,$619.42,$603.91,December 5 - 10,$656.64,$639.27,December 5 - 9,Please Call,Please Call,December 3 - 6,"PRINT SIZE=9x12 (Standard), SIDES=Single Sided (4/0), PAPER OR STOCK=16pt C2S Cardstock, COATING=High Gloss UV, Folder Diecut & Assembly=0, Folder Pockets=Both Sides, Business Card Slits=Right , Card Slit Orientation=Vertical",25
31,$543.30,$531.60,December 9 - 13,$619.42,$603.91,December 5 - 10,$656.64,$639.27,December 5 - 9,Please Call,Please Call,December 3 - 6,"PRINT SIZE=9x12 (Standard), SIDES=Single Sided (4/0), PAPER OR STOCK=16pt C2S Cardstock, COATING=High Gloss UV, Folder Diecut & Assembly=0, Folder Pockets=Both Sides, Business Card Slits=Right , Card Slit Orientation=N/A",25
31,$543.30,$531.60,December 9 - 13,$619.42,$603.91,December 5 - 10,$656.64,$639.27,December 5 - 9,Please Call,Please Call,December 3 - 6,"PRINT SIZE=9x12 (Standard), SIDES=Single Sided (4/0), PAPER OR STOCK=16pt C2S Cardstock, COATING=High Gloss UV, Folder Diecut & Assembly=0, Folder Pockets=Both Sides, Business Card Slits=Both Sides , Card Slit Orientation=Horizontal",25
31,$543.30,$531.60,December 9 - 13,$619.42,$603.91,December 5 - 10,$656.64,$639.27,December 5 - 9,Please Call,Please Call,December 3 - 6,"PRINT SIZE=9x12 (Standard), SIDES=Single Sided (4/0), PAPER OR STOCK=16pt C2S Cardstock, COATING=High Gloss UV, Folder Diecut & Assembly=0, Folder Pockets=Both Sides, Business Card Slits=Both Sides , Card Slit Orientation=Vertical",25
31,$543.30,$531.60,December 9 - 13,$619.42,$603.91,December 5 - 10,$656.64,$639.27,December 5 - 9,Please Call,Please Call,December 3 - 6,"PRINT SIZE=9x12 (Standard), SIDES=Single Sided (4/0), PAPER OR STOCK=16pt C2S Cardstock, COATING=High Gloss UV, Folder Diecut & Assembly=0, Folder Pockets=Both Sides, Business Card Slits=Both Sides , Card Slit Orientation=N/A",25
31,$543.30,$531.60,December 9 - 13,$619.42,$603.91,December 5 - 10,$656.64,$639.27,December 5 - 9,Please Call,Please Call,December 3 - 6,"PRINT SIZE=9x12 (Standard), SIDES=Single Sided (4/0), PAPER OR STOCK=16pt C2S Cardstock, COATING=High Gloss UV, Folder Diecut & Assembly=0, Folder Pockets=Both Sides, Business Card Slits=None , Card Slit Orientation=Horizontal",25
