Product ID,Economy Price,Economy No Of Days,Fast Price,Fast No Of Days,Faster Price,Faster No Of Days,Crazy Fast Price,Crazy fast No Of Days,Labels,Quantity
41,$50.43,February 3 - 5,$63.04,January 30 - 31,$70.60,January 30,$100.86,January 28 - 29,"PRINT SIZE=2.5x2, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Semi Gloss Sticker (Permanent), COATING=High Gloss UV on ONE SIDE, COLOR CRITICAL=0, Corner Rounding=0",25
41,$49.92,February 3 - 5,$62.40,January 30 - 31,$69.88,January 30,$99.83,January 28 - 29,"PRINT SIZE=2.5x2, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Semi Gloss Sticker (Permanent), COATING=None, COLOR CRITICAL=0, Corner Rounding=0",25
41,$49.76,February 3 - 5,$62.20,January 30 - 31,$69.67,January 30,$99.52,January 28 - 29,"PRINT SIZE=2.5x2, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Uncoated Sticker (Permanent), COATING=, COLOR CRITICAL=0, Corner Rounding=0",25
41,$49.76,February 3 - 5,$62.20,January 30 - 31,$69.67,January 30,$99.52,January 28 - 29,"PRINT SIZE=2.5x2, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Uncoated Sticker (Permanent), COATING=, COLOR CRITICAL=0, Corner Rounding=0",25
41,$28.35,February 3 - 5,$69.26,January 30 - 31,$77.57,January 30,$115.28,January 28 - 29,"PRINT SIZE=2.5x2, SIDES=Single Sided (4/0), PAPER OR STOCK=6 mil Vinyl Sticker (Permanent), COATING=High Gloss UV on ONE SIDE, COLOR CRITICAL=0, Corner Rounding=0",25
41,$28.35,February 3 - 5,$69.26,January 30 - 31,$77.57,January 30,$115.28,January 28 - 29,"PRINT SIZE=2.5x2, SIDES=Single Sided (4/0), PAPER OR STOCK=6 mil Vinyl Sticker (Permanent), COATING=High Gloss UV on ONE SIDE, COLOR CRITICAL=0, Corner Rounding=0",25
41,$41.52,February 3 - 5,$51.90,January 30 - 31,$58.13,January 30,$83.04,January 28 - 29,"PRINT SIZE=2.5x2.5, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Semi Gloss Sticker (Permanent), COATING=High Gloss UV on ONE SIDE, COLOR CRITICAL=0, Corner Rounding=0",25
41,$41.03,February 3 - 5,$51.29,January 30 - 31,$57.45,January 30,$82.07,January 28 - 29,"PRINT SIZE=2.5x2.5, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Semi Gloss Sticker (Permanent), COATING=None, COLOR CRITICAL=0, Corner Rounding=0",25
41,$40.88,February 3 - 5,$51.10,January 30 - 31,$57.23,January 30,$81.76,January 28 - 29,"PRINT SIZE=2.5x2.5, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Uncoated Sticker (Permanent), COATING=, COLOR CRITICAL=0, Corner Rounding=0",25
41,$40.88,February 3 - 5,$51.10,January 30 - 31,$57.23,January 30,$81.76,January 28 - 29,"PRINT SIZE=2.5x2.5, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Uncoated Sticker (Permanent), COATING=, COLOR CRITICAL=0, Corner Rounding=0",25
